300 360 360 360 300 300 240 150 100 45 90 120 150 52 60 120 

2430	2716	2716	2716	1980	1980	1144	715	660	1214.5	429	792	990	1249.7	886	792

6 6 6 6 6 6 6 4 4 1 1 4 4 1 1 4 

5 5 5 5 5 5 5 3 3 1 1 3 3 1 1 3 

9 9 9 9 9 9 9 8 8 3 3 6 6 3 3 4 

5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	

825 650 950 960 900 750 950 550 550 30 12 625 550 30 12 440 

2877 2110 3050 3160 3000 2850 3250 1920 1730 40 37 1805 2250 55 32 1640 

1215	1358	1358	1358	990	990	572	357.5	330	607.25	214.5	396	495	624.85	443	396

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
 
500 600 600 600 750 750 400 250 250 70 150 300 350 90 100 250
0.00195	0.00208	0.00208	0.00208	0.00169	0.00169	0.00195	0.00195	0.00195	0.00247	0.00234	0.00221	0.00195	0.00247	0.00234	0.00221
															
11.3776	9.9502	9.9502	9.9502	7.8676	7.8676	11.7936	11.3776	11.3776	16.302	15.106	12.4059	10.8576	16.9	19.006	12.4059
															
1317.82066	1581.38474	1581.38474	1581.38474	1824.67467	1824.67467	1054.256476	950.625	608.22489	790.692357	395.346185	729.869868	912.337335	920.446995	1054.256476	729.869868

1 1 1 1 1 1 1 3 3 1 1 1 1 1 1 1 

300 360 360 360 300 300 240 150 100 45 90 120 150 52 60 120  

