1 3 3 3 4 5 7 8 9 25 26 29 30 31 31 31 

10 11 18 19 20 25 26 27 28 30 31 
3 8 24 25

0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 
0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 
0.361 0.361 0.361 0.361 0.361 0.361 0.361 0.361 0.361 0.361 0.361 0.361 0.361 0.361 0.361 0.361 0.361 0.361 0.361 0.361 0.361 0.361 0.361 0.361 
0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 
0.012 0.012 0.012 0.012 0.012 0.012 0.012 0.012 0.012 0.012 0.012 0.012 0.012 0.012 0.012 0.012 0.012 0.012 0.012 0.012 0.012 0.012 0.012 0.012 
0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 
0.265 0.265 0.265 0.265 0.265 0.265 0.265 0.265 0.265 0.265 0.265 0.265 0.265 0.265 0.265 0.265 0.265 0.265 0.265 0.265 0.265 0.265 0.265 0.265 
0.062 0.062 0.062 0.062 0.062 0.062 0.062 0.062 0.062 0.062 0.062 0.062 0.062 0.062 0.062 0.062 0.062 0.062 0.062 0.062 0.062 0.062 0.062 0.062 
0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 0.024 
0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 
0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 


1000 1000 1000 2000 2000 1500 1500 1200 2400 1200 
1200 1000 1000 1000 1000 2000 1000 1000 1780 1780 
1200 800 1200 2500 500 200 1000 1000 1000 900 
1250 1250 1000 500 1200 800 600 1000 700 
